Mole_Fraction,-H0
2.56E-04,-1.00183
5.51E-03,-0.49008
2.10E-02,-0.00418
7.23E-02,0.32723
1.44E-01,0.55574
2.88E-01,0.98717
3.59E-01,1.26686
4.34E-01,1.57209
4.95E-01,1.90324
5.47E-01,2.13227
6.13E-01,2.38651
6.82E-01,2.58949
7.44E-01,2.69029
8.08E-01,2.73984
8.72E-01,2.76379
9.39E-01,2.73649
9.90E-01,2.70959
1.00E+00,2.68373
