pH,k1 value,k1 stdev,k2 value,k2 stdev
0.0,0.001064102931400135,5.285664286001271e-05,0.0006528798032711114,1.529908204927625e-05
0.28,0.0005191394721665299,1.609660464107108e-05,0.00028714346971259186,3.917993669662843e-06
0.55,0.00022882498683618469,4.441268655114335e-06,0.00013065995819860898,1.1445852167059464e-06
1.0,0.000133495264880934,1.8587177910626776e-06,6.183798660119866e-05,3.4400289198320653e-07
1.25,6.968000368867688e-05,8.011757902631291e-07,3.33660697370286e-05,1.5734034867955979e-07
1.5,6.855518265214133e-05,5.859963636450692e-07,1.596885836441242e-05,4.649305487178513e-08
1.9,6.677754238493261e-05,5.374592343175393e-07,8.088303862785473e-06,3.431361926945747e-08
2.25,8.448743131561631e-05,5.861427079000633e-07,5.395606725522306e-06,2.6400763115030085e-08
2.6,0.00012833088627062228,1.018551603143532e-06,4.659964300546271e-06,2.3893941625722108e-08
3.4,0.000335239988560887,4.263717741396037e-06,3.874657301117246e-06,2.2209948012646842e-08
3.7,0.0005654910763354115,9.163293663073217e-06,3.6432933691044056e-06,2.121247751645187e-08
4.1,0.0007619277450184869,1.3518136366570991e-05,3.4809863499463134e-06,1.96736247652418e-08
4.4,0.0008558924762015474,1.547521993433723e-05,4.069039924670115e-06,1.918494746493584e-08
4.75,0.0006537620921412968,9.595272264101059e-06,6.009137850981894e-06,1.92808731408533e-08
5.1,0.00038860770390314325,5.29876048806918e-06,5.966963362191713e-06,2.355358512637489e-08
5.6,0.00017327684533230414,1.8279002789810194e-06,1.1340231220180463e-05,3.4186771333293763e-08
6.0,8.383599964811861e-05,1.0828359209705516e-06,2.8439785696554587e-05,1.316970388014568e-07
6.5,2.454387229067212e-05,3.2973086120192056e-07,7.342547600297511e-05,9.73318516279187e-07
6.9,9.53368016920475e-06,1.0118891212814673e-07,0.00017117261046528665,4.8488683942326424e-06
